industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Banks,130813.0,830662.55,2020-05-25,Product_1,100 - 500 Million,Category 3,USA,"Monroe, MI",Kelly Martin,CEO,"Education officer, community",Website,Level 1,2 days back,"Clavey,Therese A",No,5,70.3
"Oil, Gas, Coal",295557.0,1684674.9,2020-05-25,Product_2,500 Million - 1 Billion,Category 3,USA,"Corpus Christi, TX",Christopher Harrison,CEO,Sales executive,Others,Level 1,5 days back,"Knox,Antonio D",Yes,2,64.1
Hospitals/Clinics,422703.0,2705299.2,2020-05-25,Product_1,100 - 500 Million,Category 4,USA,"Bloomington, IN",David Martin,CEO,Paediatric nurse,Marketing Event,Level 1,more than a month,"Vickers Jr.,Henry J",Yes,1,64.2
Banks,393167.0,2516268.8,2020-05-25,Product_1,100 - 500 Million,Category 4,USA,"Ocala, FL",Tony Barnes,CEO,Clothing/textile technologist,Others,Level 2,Up-to-date,"Pappas,Mark S",No,3,67.1
Banks,352321.0,2395782.8,2020-05-25,Product_1,500 Million - 1 Billion,Category 1,India,Dindigul,priya kumari,CEO,Conference centre manager,Website,Level 3,,"Shelton,Sidney P",No,2,66.8
Healthcare Facilities/Services,192169.0,1201056.25,2020-05-25,Product_1,50 - 100 Million,Category 4,India,Ranchi,poonam,CEO,Chemical engineer,Marketing Event,Level 1,more than a month,"Green,Candy",No,4,59.900000000000006
Database,200188.0,1221146.8,2020-05-25,Product_1,500 Million - 1 Billion,Category 4,India,Gwalior,garima,CEO,Operations geologist,Contact Email,Level 1,No track,"Booker,David L",Yes,2,55.3
Industrial Equip,26430.0,153294.0,2020-05-25,Product_1,100 - 500 Million,Category 3,USA,"Palm Bay-Melbourne-Titusville, FL",Julia Peterson,CEO,Tour manager,Others,Level 1,5 days back,"Jones,Eyvette W",No,5,65.0
Alternative,100228.0,596356.6,2020-05-26,Product_1,500 Million - 1 Billion,Category 2,India,Khanapur,sunita,CEO,"Psychotherapist, dance movement",Website,Level 2,5 days back,"Van Arter,Derrick",Yes,1,62.6
Metals/Mining,465079.0,2999759.55,2020-05-26,Product_2,500 Million - 1 Billion,Category 3,USA,"Punta Gorda, FL",Nathan Smith,CEO,Clinical biochemist,Others,Level 3,No track,"Himes,Maurice C",Yes,4,71.7
Investment Bank/Brokerage,55941.0,324457.8,2020-05-26,Product_2,500 Million - 1 Billion,Category 1,India,Cuttack,seema devi,SVP/General Counsel,Sales promotion account executive,Others,Level 1,5 days back,"Booker,David L",Yes,1,58.1
Real Estate,242350.0,1611627.5,2020-05-26,Product_1,500 Million - 1 Billion,Category 3,,Hubli,usha,SVP/General Counsel,Lobbyist,Marketing Event,Level 3,?,"Logan,Kevin N",No,3,66.7
Materials/Manufacturing,424298.0,2630647.6,2020-05-26,Product_2,50 - 100 Million,Category 4,India,Diu,kusum,CEO,Audiological scientist,Website,Level 1,No track,"Ross,Eric L",No,4,60.2
Banks,330551.0,2082471.3,2020-05-26,Product_2,50 - 100 Million,Category 2,USA,"Milwaukee-Waukesha-West Allis, WI",Karen Lynch,CEO,"Engineer, structural",Marketing Event,Level 3,No track,"Sutton,Michelle R",No,1,70.1
BioTech/Drugs,243205.0,1507871.0,2020-05-26,Product_2,100 - 500 Million,Category 1,USA,"Texarkana, TX-AR",Cindy Barnett,SVP/General Counsel,Armed forces training and education officer,Others,Level 1,No track,"Logan,Kevin N",No,3,68.9
"Oil, Gas, Coal",21138.0,132112.5,2020-05-26,Product_1,100 - 500 Million,Category 2,USA,"Panama City, FL",Virginia Robinson,CEO,Higher education careers adviser,Others,Level 3,?,"Hameier,Kurt E",No,5,70.9
Apparel Retail,247774.0,1548587.5,2020-05-26,Product_1,50 - 100 Million,Category 2,USA,"Tulsa, OK",Kyle King,CEO,"Journalist, newspaper",Website,Level 3,5 days back,"Bannister,Joan",No,2,70.4
Banks,331349.0,,2020-05-26,Product_2,500 Million - 1 Billion,Category 4,USA,"Cheyenne, WY",Jason Koch,SVP/General Counsel,Medical sales representative,Others,Level 2,No track,"Ross,Eric L",No,4,68.5
Associations,192941.0,1311998.8,2020-05-26,Product_2,50 - 100 Million,Category 3,USA,"Dalton, GA",James Walsh,CEO,Retail buyer,Marketing Event,Level 3,No track,"Vickers Jr.,Henry J",No,5,73.9
Materials/Manufacturing,260373.0,1575256.65,2020-05-26,Product_1,50 - 100 Million,Category 3,India,Panipat,geeta,CEO,Landscape architect,Marketing Event,Level 2,No track,"Knox,Antonio D",Yes,4,62.1
Other Investment Firms,436282.0,,2020-05-26,Product_1,500 Million - 1 Billion,Category 1,USA,"Pueblo, CO",Tiffany Duke,CEO,Outdoor activities/education manager,Others,Level 3,?,"Hanyok,John J",No,4,74.7
Education/Training,74161.0,496878.7,2020-05-27,Product_2,500 Million - 1 Billion,Category 1,India,Nellore,moni kumari,CEO,Clinical cytogeneticist,Website,Level 3,more than a month,"Maine,John P",Yes,2,64.8
Entertainment/Media,482363.0,2918296.15,2020-05-27,Product_2,50 - 100 Million,Category 1,,Valparai,rajkumari,SVP/General Counsel,"Programmer, systems",Marketing Event,Level 1,5 days back,"Rocks,Michael J",No,1,60.2
Software,67618.0,405708.0,2020-05-27,Product_1,500 Million - 1 Billion,Category 3,India,Dhanbad,seema,CEO,Early years teacher,Marketing Event,Level 1,2 days back,"Anthony,Katherine D",No,3,60.3
REIT,476454.0,3168419.1,2020-05-27,Product_2,50 - 100 Million,Category 4,USA,"Portland-Vancouver-Hillsboro, OR-WA",Riley Rhodes,CEO,Architect,Marketing Event,Level 1,Up-to-date,"Davis,Brian R",Yes,5,69.0
REIT,376638.0,2146836.6,2020-05-27,Product_2,100 - 500 Million,Category 2,,"Alexandria, LA",Joshua Stone,SVP/General Counsel,Software engineer,Contact Email,Level 1,More than 2 weeks,"Young,Valerie K",Yes,2,62.900000000000006
Associations,498696.0,3341263.2,2020-05-27,Product_1,500 Million - 1 Billion,Category 1,USA,"Owensboro, KY",John Hudson,CEO,Recruitment consultant,Contact Email,Level 2,More than a week back,"Brown,Maxine A",Yes,3,70.7
Insurance,137760.0,943656.0,2020-05-27,Product_1,500 Million - 1 Billion,Category 4,India,Moradabad,radhika,SVP/General Counsel,Sales promotion account executive,Others,Level 3,More than a week back,"Hebron,Artenia D",No,5,66.3
Internet Software,270062.0,1849924.7,2020-05-27,Product_2,500 Million - 1 Billion,Category 3,India,Budaun,pinki sharma,SVP/General Counsel,"Surveyor, land/geomatics",Marketing Event,Level 3,,"Kiepea,Prince A",Yes,5,68.8
Property/Casualty,118753.0,754081.55,2020-05-27,Product_2,100 - 500 Million,Category 3,India,Chandigarh ,laxmeena,CEO,Mental health nurse,Marketing Event,Level 3,More than 2 weeks,"Turner,Marlon D",Yes,2,62.1
Semiconductors,186465.0,997587.75,2020-05-27,Product_2,50 - 100 Million,Category 2,USA,"Manchester-Nashua, NH",Charles Evans,CEO,"Therapist, speech and language",Others,Level 1,5 days back,"Charles,Caleb",No,2,63.7
Insurance,303332.0,1653159.4,2020-05-27,Product_1,50 - 100 Million,Category 3,USA,"Michigan City-La Porte, IN",Eric Wilkerson,CEO,Health physicist,Others,Level 1,?,"Vickers Jr.,Henry J",,2,62.2
Banks,175827.0,967048.5,2020-05-28,Product_1,500 Million - 1 Billion,Category 3,India,Hapur,kamini devi,CEO,Government social research officer,Others,Level 1,More than a week back,"Green,Candy",No,2,57.1
Materials/Manufacturing,10956.0,65736.0,2020-05-28,Product_2,100 - 500 Million,Category 3,India,Ludhiana,sheetal,SVP/General Counsel,"Scientist, product/process development",Marketing Event,Level 2,No track,"McKenstry,Loretta A",No,3,59.6
Financial Services,4997.0,33979.6,2020-05-28,Product_1,50 - 100 Million,Category 1,,Ambala,kushagra,SVP/General Counsel,Theatre manager,Marketing Event,Level 3,2 days back,"Knox,Antonio D",Yes,5,66.9
Banks,215710.0,1305045.5,2020-05-28,Product_2,50 - 100 Million,Category 1,India,Tuticorin,monini @ rupa,CEO,Transport planner,Contact Email,Level 2,No track,"Green,Candy",Yes,2,58.6
Other Investment Firms,228257.0,1506496.2,2020-05-28,Product_1,100 - 500 Million,Category 4,USA,"Knoxville, TN",Jennifer Carter,CEO,"Lighting technician, broadcasting/film/video",Marketing Event,Level 1,?,"Mabrey,Kevin C",No,3,67.4
Materials/Manufacturing,191441.0,1129501.9,2020-05-28,Product_1,500 Million - 1 Billion,Category 3,USA,"Grand Rapids-Wyoming, MI",Jonathan Anderson,CEO,Dealer,Others,Level 1,,"Ross,Eric L",No,4,67.3
Other,330301.0,1816655.5,2020-05-28,Product_2,100 - 500 Million,Category 2,India,Nizamabad,sunita,SVP/General Counsel,Child psychotherapist,Others,Level 1,more than a month,"Kiepea,Prince A",No,4,60.400000000000006
Beverages (Alcoholic),262850.0,,2020-05-29,Product_1,100 - 500 Million,Category 4,,"Fairbanks, AK",Stephanie Bautista,CEO,"Administrator, local government",Contact Email,Level 3,Up-to-date,"Leu,Darren L",Yes,3,26.35
Electronics,421493.0,2676480.55,2020-05-29,Product_1,100 - 500 Million,Category 4,,"Phoenix-Mesa-Scottsdale, AZ",Zachary Gray,CEO,Quantity surveyor,Website,Level 1,More than 2 weeks,"Davis,Sharrice A",Yes,2,64.5
Other,363729.0,2564289.45,2020-05-29,Product_1,500 Million - 1 Billion,Category 3,USA,"Rochester, MN",Cindy Cooper,SVP/General Counsel,"Civil engineer, consulting",Marketing Event,Level 3,More than 2 weeks,"Himes,Maurice C",No,5,75.8
Hospitals/Clinics,271088.0,1802735.2,2020-05-29,Product_2,100 - 500 Million,Category 2,USA,"Rockford, IL",Gregory Powell,CEO,Music tutor,Contact Email,Level 3,More than a week back,"Cashin,Marc C",Yes,5,72.6
Government,187977.0,1174856.25,2020-05-29,Product_1,100 - 500 Million,Category 2,USA,"Huntington-Ashland, WV-KY-OH",Dr. Judy Anthony,CEO,Chartered certified accountant,Contact Email,Level 3,2 days back,"Gaskins Jr,Franklin D",Yes,2,67.3
Telecom Services/Telephone Companies,403070.0,2216885.0,2020-05-29,Product_2,50 - 100 Million,Category 2,India,Rampura,kajal,SVP/General Counsel,Field trials officer,Website,Level 1,No track,"Massiah,Gerard F",Yes,1,59.0
Utilities,124366.0,783505.8,2020-05-29,Product_1,500 Million - 1 Billion,Category 3,India,Panchkula,sivani,CEO,"Scientist, research (physical sciences)",Marketing Event,Level 2,No track,"Charles,Caleb",Yes,4,26.35
Banks,187151.0,1207123.95,2020-05-29,Product_1,500 Million - 1 Billion,Category 4,USA,"Elmira, NY",Kelly Knight,SVP/General Counsel,Investment analyst,Website,Level 1,No track,"Meli,Teresa V",No,2,65.9
Health/Accident,328402.0,2331654.2,2020-05-30,Product_1,500 Million - 1 Billion,Category 1,USA,"Trenton, NJ",Levi Dawson,CEO,"Therapist, art",Marketing Event,Level 2,,"Charles,Caleb",No,5,76.1
Beverages (Alcoholic),286448.0,1761655.2,2020-05-30,Product_2,50 - 100 Million,Category 2,USA,"Dothan, AL",Victoria Moore,SVP/General Counsel,"Nurse, adult",Contact Email,Level 2,No track,"Cash,Tyrone J",Yes,5,107.34
Non-Profit,283515.0,1729441.5,2020-05-30,Product_1,100 - 500 Million,Category 2,USA,"Bellingham, WA",Daniel Sharp,SVP/General Counsel,"Social research officer, government",Marketing Event,Level 1,No track,"Davis,Brian R",,4,69.4
Banks,111206.0,,2020-05-30,Product_2,100 - 500 Million,Category 1,USA,"Joplin, MO",James Bentley,CEO,"Lecturer, higher education",Marketing Event,Level 3,No track,"Davis,Sharrice A",No,3,75.3
Chemical Manufacturing,331857.0,1991142.0,2020-05-30,Product_2,50 - 100 Million,Category 3,USA,"Cumberland, MD-WV",Pamela Mills,CEO,Immunologist,Website,Level 2,No track,"Green,Ann E",Yes,1,66.2
Internet Software,491196.0,2627898.6,2020-05-31,Product_1,50 - 100 Million,Category 2,,Nellore,shruti,CEO,Architect,Others,Level 2,more than a month,"Murray,Younetta",Yes,1,58.400000000000006
Retail,444242.0,2954209.3,2020-05-31,Product_1,50 - 100 Million,Category 1,USA,"Lexington-Fayette, KY",Vicki Rios,CEO,Educational psychologist,Marketing Event,Level 1,No track,"Hanyok,John J",No,5,107.34
Insurance,166076.0,1096101.6,2020-05-31,Product_2,50 - 100 Million,Category 4,USA,"Urban Honolulu, HI",Joshua Wilson,SVP/General Counsel,Film/video editor,Others,Level 3,No track,"Hebron,Artenia D",No,4,69.3
Other Consulting,357829.0,,2020-05-31,Product_1,500 Million - 1 Billion,Category 3,USA,"Pine Bluff, AR",Heather Cox,CEO,Forensic scientist,Others,Level 2,Up-to-date,"Gaskins Jr,Franklin D",Yes,3,107.34
Life,48265.0,263044.25,2020-05-31,Product_2,50 - 100 Million,Category 3,USA,"Birmingham-Hoover, AL",John Reyes,CEO,Community pharmacist,Others,Level 1,5 days back,"Murray,Younetta",No,4,62.400000000000006
Other,103510.0,600358.0,2020-05-31,Product_2,50 - 100 Million,Category 3,,"Wheeling, WV-OH",Janice Moreno,CEO,Sports coach,Website,Level 1,No track,"Van Arter,Derrick",Yes,2,64.5
Investment Bank/Brokerage,318444.0,2133574.8,2020-05-31,Product_2,500 Million - 1 Billion,Category 2,India,Kagaznagar,sadhna,CEO,Chartered accountant,Website,Level 3,,"Himes,Maurice C",No,5,70.6
Banks,326825.0,1813878.75,2020-05-31,Product_1,50 - 100 Million,Category 2,,"New Orleans-Metairie, LA",Brenda Cole,CEO,"Journalist, magazine",Others,Level 2,No track,"Mabrey,Kevin C",No,2,65.4
Materials/Manufacturing,33074.0,216634.7,2020-06-01,Product_1,50 - 100 Million,Category 4,India,Mysore,lovely,SVP/General Counsel,Structural engineer,Website,Level 3,No track,"Hameier,Kurt E",Yes,4,61.6
Periodicals,257638.0,1455654.7,2020-06-01,Product_1,50 - 100 Million,Category 4,India,Bellary,karuna reddi,CEO,Pension scheme manager,Others,Level 1,More than 2 weeks,"Kiepea,Prince A",No,1,107.34
Materials/Manufacturing,148310.0,934353.0,2020-06-01,Product_1,100 - 500 Million,Category 3,India,Hubli,sheela,CEO,"Administrator, local government",Website,Level 3,No track,"Vickers Jr.,Henry J",No,1,107.34
Aerospace/Defense,309147.0,1963083.45,2020-06-01,Product_1,100 - 500 Million,Category 1,USA,"Kahului-Wailuku-Lahaina, HI",Hannah Diaz,CEO,Estate manager/land agent,Website,Level 1,More than 2 weeks,"Hebron,Artenia D",Yes,1,68.0
Non-Profit,34531.0,220998.4,2020-06-01,Product_2,100 - 500 Million,Category 4,USA,"Cape Coral-Fort Myers, FL",Daisy Davidson,CEO,"Administrator, local government",Marketing Event,Level 2,5 days back,"Ross,Eric L",No,1,62.900000000000006
Construction Services,161841.0,1100518.8,2020-06-01,Product_2,50 - 100 Million,Category 4,USA,"Salinas, CA",Rebecca Meyer,CEO,Magazine journalist,Marketing Event,Level 3,?,"Jones,Michael L",Yes,2,68.1
Banks,30969.0,190459.35,2020-06-01,Product_2,500 Million - 1 Billion,Category 2,India,Brahmapur,jyoti jatav,CEO,Adult guidance worker,Others,Level 3,More than 2 weeks,"Logan,Kevin N",Yes,5,65.3
Consumer Products,105683.0,649950.45,2020-06-01,Product_2,100 - 500 Million,Category 3,USA,"Sumter, SC",Austin Fox,CEO,Lobbyist,Others,Level 3,No track,"Shelton,Sidney P",Yes,2,26.35
Plumbing/HVAC,486591.0,2773568.7,2020-06-01,Product_2,100 - 500 Million,Category 2,India,Haora,neha,CEO,Solicitor,Contact Email,Level 1,No track,"Robinson,John C",Yes,3,59.1
Hotels/Motels,435551.0,2417308.05,2020-06-02,Product_1,50 - 100 Million,Category 2,India,Vizianagaram,hina,CEO,Special educational needs teacher,Contact Email,Level 1,No track,"Mabrey,Kevin C",,3,58.6
Financial Services,424573.0,2377608.8,2020-06-02,Product_1,500 Million - 1 Billion,Category 2,India,Varanasi,mithlesh,CEO,Banker,Contact Email,Level 1,?,"Sutton,Michelle R",No,1,57.3
Banks,434943.0,2609658.0,2020-06-02,Product_2,100 - 500 Million,Category 1,India,Bhusaval,komal,CEO,Chief Executive Officer,Contact Email,Level 1,No track,"Carter Sr,Clifton E",Yes,2,57.400000000000006
Banks,26087.0,160435.05,2020-06-02,Product_2,500 Million - 1 Billion,Category 2,India,Bhiwani,smt. sita,CEO,Adult guidance worker,Marketing Event,Level 3,No track,"Dyson,William A",No,1,62.0
Constr/Agric Machinery,166156.0,955397.0,2020-06-02,Product_1,50 - 100 Million,Category 2,India,Tonk,smts. vimala devi,CEO,"Scientist, biomedical",Others,Level 2,More than 2 weeks,"Rocks,Michael J",Yes,5,63.7
Banks,405612.0,2575636.2,2020-06-02,Product_2,500 Million - 1 Billion,Category 2,USA,"Williamsport, PA",Sean Whitaker,SVP/General Counsel,Legal secretary,Website,Level 2,No track,"Turner,Marlon D",Yes,3,107.34
Other,403387.0,2541338.1,2020-06-02,Product_2,500 Million - 1 Billion,Category 4,India,Chikka Mandya,manju,CEO,Field trials officer,Marketing Event,Level 1,?,"Charles,Caleb",No,1,58.6
Other,98653.0,660975.1,2020-06-02,Product_1,500 Million - 1 Billion,Category 2,USA,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Karen Roth,SVP/General Counsel,Higher education lecturer,Website,Level 3,More than 2 weeks,"Thomas,Lori E",Yes,3,75.5
Training,114362.0,714762.5,2020-06-02,Product_2,50 - 100 Million,Category 4,USA,"Oklahoma City, OK",Carlos Taylor,SVP/General Counsel,Building control surveyor,Contact Email,Level 1,?,"Cash,Tyrone J",No,4,63.6
Banks,360925.0,2418197.5,2020-06-02,Product_2,500 Million - 1 Billion,Category 4,,"Jonesboro, AR",James Bailey,CEO,Public house manager,Marketing Event,Level 2,No track,"Dunaway,Antoine",Yes,2,67.3
Network Infrastructure,398610.0,2630826.0,2020-06-03,Product_1,100 - 500 Million,Category 4,USA,"Tampa-St. Petersburg-Clearwater, FL",Darius Greene,SVP/General Counsel,Advertising art director,Marketing Event,Level 2,More than 2 weeks,"Sutton,Michelle R",No,1,65.9
Biotech/Healthcare,482823.0,2993502.6,2020-06-03,Product_2,100 - 500 Million,Category 1,,"Dover, DE",Thomas Gonzalez MD,SVP/General Counsel,"Teacher, early years/pre",Contact Email,Level 1,No track,"Jones,Michael L",No,1,64.4
Insurance,148967.0,826766.85,2020-06-03,Product_1,50 - 100 Million,Category 2,USA,"Blacksburg-Christiansburg-Radford, VA",Jason Baird,CEO,Automotive engineer,Contact Email,Level 1,No track,"Booker,David L",No,2,62.400000000000006
Apparel Retail,28889.0,174778.45,2020-06-03,Product_1,500 Million - 1 Billion,Category 1,India,Vishakhapatnam,smt rajbala,CEO,Colour technologist,Website,Level 1,More than a week back,"Mabrey,Kevin C",No,1,59.400000000000006
Financial Services,249680.0,1635404.0,2020-06-03,Product_1,100 - 500 Million,Category 1,USA,"Barnstable Town, MA",Kevin Miller,CEO,"Engineer, maintenance (IT)",Website,Level 2,Up-to-date,"Gould,Lisa D",Yes,1,69.7
Healthcare Facilities/Services,105557.0,749454.7,2020-06-03,Product_2,100 - 500 Million,Category 4,USA,"Hilton Head Island-Bluffton-Beaufort, SC",Jacob Nguyen,CEO,Osteopath,Website,Level 3,No track,"Himes,Maurice C",No,3,72.1
Financial Services,374670.0,2360421.0,2020-06-03,Product_1,500 Million - 1 Billion,Category 1,USA,"Winston-Salem, NC",Autumn Washington,CEO,Trade mark attorney,Contact Email,Level 1,No track,"Carter Sr,Clifton E",No,2,65.8
Hotels/Motels,82434.0,527577.6,2020-06-04,Product_2,500 Million - 1 Billion,Category 2,USA,"Dallas-Fort Worth-Arlington, TX",Patrick Olson,SVP/General Counsel,Art therapist,Contact Email,Level 2,Up-to-date,"Ali,Mohamed",No,5,71.3
Sales/Marketing Services,399484.0,2876284.8,2020-06-04,Product_2,500 Million - 1 Billion,Category 1,USA,"Boulder, CO",Derrick Gonzalez,SVP/General Counsel,Probation officer,Website,Level 3,more than a month,"Pappas,Mark S",Yes,4,77.0
REIT,379454.0,1992133.5,2020-06-04,Product_2,50 - 100 Million,Category 3,India,Chirala,sonu,CEO,"Scientist, research (maths)",Others,Level 1,5 days back,"Turner,Marlon D",Yes,2,55.2
Banks,98242.0,643485.1,2020-06-04,Product_1,100 - 500 Million,Category 3,USA,"Hanford-Corcoran, CA",Cheryl Valdez,CEO,Bookseller,Contact Email,Level 3,No track,"Dyson,William A",Yes,4,69.0
Waste/Recycling,170489.0,946213.95,2020-06-04,Product_1,50 - 100 Million,Category 2,India,Mathura,manisha,SVP/General Counsel,Police officer,Others,Level 1,,"Shelton,Sidney P",Yes,5,62.0
Banks,152155.0,897714.5,2020-06-04,Product_1,50 - 100 Million,Category 2,,Ahmedabad,ruby w/o,CEO,Freight forwarder,Contact Email,Level 3,5 days back,"Carter Sr,Clifton E",,2,59.8
Technology Consulting,414333.0,2651731.2,2020-06-04,Product_2,50 - 100 Million,Category 1,USA,"Sherman-Denison, TX",Amanda Bell,SVP/General Counsel,Television camera operator,Website,Level 2,Up-to-date,"Young,Valerie K",No,2,69.2
Iron/Steel,121830.0,761437.5,2020-06-04,Product_2,50 - 100 Million,Category 3,USA,"Tyler, TX",Jacqueline Lee,SVP/General Counsel,Arboriculturist,Marketing Event,Level 2,?,"Ryker,David",No,4,69.1
Biotech/Healthcare,417954.0,2319644.7,2020-06-05,Product_2,50 - 100 Million,Category 2,,Sirsa,rampal singh,CEO,Charity officer,Contact Email,Level 2,No track,"Gilley,Janine",Yes,2,57.1
